security_code,issuer_name,security_id,security_name,status,group,face_value,isin_number,industry,sector_name,group_name,sub_group_name
517546,alfa transformers ltd.,alfatran,alfa transformers ltd.,Active,X,10,ine209c01015,capital goods,industrials,electrical equipment,other electrical equipment
517554,nhc foods limited,nhcfoods,nhc foods ltd.,Active,X,10,ine141c01028,fast moving consumer goods,fast moving consumer goods,food products,other food products
517556,pvp ventures ltd,pvp,pvp ventures ltd.,Active,B,10,ine362a01016,realty,consumer discretionary,realty,residential commercial projects
517562,trigyn technologies ltd.,trigyn,trigyn technologies ltd.,Active,B,10,ine948a01012,information technology,information technology,it - software,computers - software & consulting
517569,kei industries ltd.,kei,kei industries ltd.,Active,A,2,ine878b01027,capital goods,industrials,industrial products,cables - electricals
517571,imp power ltd.,indlmeter,imp powers ltd.,Active,T,10,ine065b01013,capital goods,industrials,electrical equipment,heavy electrical equipment
518011,keerthi industries ltd,keerthi,keerthi industries ltd.,Active,XT,10,ine145l01012,construction materials,commodities,cement & cement products,cement & cement products
518029,gujarat sidhee cement limited.,gsclcement,gujarat sidhee cement ltd.,Active,B,10,ine542a01039,construction materials,commodities,cement & cement products,cement & cement products
518075,suraj products ltd.,suraj,suraj products ltd.,Active,Z,10,ine069e01019,capital goods,industrials,industrial products,iron & steel products
518091,anjani portland cement ltd.,apcl,anjani portland cement ltd.,Active,B,10,ine071f01012,construction materials,commodities,cement & cement products,cement & cement products
519003,modi naturals limited,modinatur,modi naturals limited,Active,X,10,ine537f01012,fast moving consumer goods,fast moving consumer goods,agricultural food & other products,other agricultural products
519014,prashant india ltd,prsntin,prashant india ltd.,Active,XT,10,ine100e01012,textiles,consumer discretionary,textiles & apparels,other textile products
519031,shah foods ltd,shahfood,shah foods ltd.,Active,X,10,ine455d01012,fast moving consumer goods,fast moving consumer goods,food products,packaged foods
519064,khandelwal extraction ltd.,zkhanden,khandelwal extraction ltd.,Active,XT,10,ine687w01010,fast moving consumer goods,fast moving consumer goods,agricultural food & other products,other agricultural products
519091,tasty bite eatables ltd.,tastybit,tasty bite eatables ltd.,Active,A,10,ine488b01017,fast moving consumer goods,fast moving consumer goods,food products,packaged foods
519097,ritesh international ltd,riteshin,ritesh international ltd.,Active,XT,10,ine534d01014,chemicals,commodities,chemicals & petrochemicals,commodity chemicals
519105,avt natural products ltd.,avtnpl,avt natural products ltd.,Active,B,1,ine488d01021,fast moving consumer goods,fast moving consumer goods,agricultural food & other products,other agricultural products
519126,hindustan foods ltd.,hndfds,hindustan foods ltd.,Active,A,10,ine254n01018,fast moving consumer goods,fast moving consumer goods,diversified fmcg,diversified fmcg
519136,nahar industrial enterprises ltd,naharindus,nahar industrial enterprises ltd.,Active,B,10,ine289a01011,textiles,consumer discretionary,textiles & apparels,other textile products
519152,vadilal enterprises ltd.,vadilent,vadilal enterprises ltd.,Active,XT,10,ine693d01018,fast moving consumer goods,fast moving consumer goods,food products,dairy products
519156,vadilal industries ltd.,vadilalind,vadilal industries ltd.,Active,B,10,ine694d01016,fast moving consumer goods,fast moving consumer goods,food products,dairy products
519174,ashiana agro industries ltd,ashai,ashiana agro industries ltd.,Active,XT,10,ine709d01012,fast moving consumer goods,fast moving consumer goods,agricultural food & other products,edible oil
519183,adf foods limited.,adffoods,adf foods ltd.,Active,B,10,ine982b01019,fast moving consumer goods,fast moving consumer goods,food products,packaged foods
519191,retro green revolution limited,rgrl,retro green revolution ltd,Active,X,10,ine601n01010,fast moving consumer goods,fast moving consumer goods,agricultural food & other products,tea & coffee
519214,williamson financial services ltd.,willimfi,williamson financial services ltd.,Active,X,10,ine188e01017,financial services,financial services,finance,non banking financial company (nbfc)
519216,ajanta soya limited,ajantsoy,ajanta soya ltd.,Active,X,2,ine601b01023,fast moving consumer goods,fast moving consumer goods,agricultural food & other products,edible oil
519224,william magor & company limited,willamagor,williamson magor & company ltd.,Active,B,10,ine210a01017,financial services,financial services,finance,non banking financial company (nbfc)
519230,richirich inventures limited,richirich,richirich inventures limited,Active,X,5,ine102c01020,services,services,commercial services & supplies,trading & distributors
519234,superior industrial enterprises limited,siel,superior industrial enterprises limited,Active,XT,10,ine843l01012,fast moving consumer goods,fast moving consumer goods,agricultural food & other products,edible oil
519242,sarda proteins ltd,srdaprt,sarda proteins ltd.,Active,XT,10,ine995u01011,fast moving consumer goods,fast moving consumer goods,agricultural food & other products,edible oil
519260,sanwaria consumer limited,sanwaria,sanwaria consumer ltd,Active,Z,1,ine890c01046,fast moving consumer goods,fast moving consumer goods,food products,other food products
519262,prima agro ltd.,primagr,prima agro ltd.,Active,XT,10,ine297d01018,fast moving consumer goods,fast moving consumer goods,agricultural food & other products,other agricultural products
519285,tarai foods ltd.,tarai,tarai foods ltd.,Active,XT,10,ine906c01016,fast moving consumer goods,fast moving consumer goods,agricultural food & other products,other agricultural products
519287,modern dairies ltd.,modairy,modern dairies ltd.,Active,X,10,ine617b01011,fast moving consumer goods,fast moving consumer goods,food products,packaged foods
519295,bambino agro industries ltd,bambino,bambino agro industries ltd.,Active,X,10,ine921d01013,fast moving consumer goods,fast moving consumer goods,food products,packaged foods
519299,prime industries ltd.,primind,prime industries ltd.,Active,Z,5,ine543f01028,fast moving consumer goods,fast moving consumer goods,agricultural food & other products,edible oil
